09:26:45.935586  In 00:0c:29:29:d9:ce > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.71 tell 10.1.0.170
09:26:45.941730  In 00:0c:29:29:d9:ce > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.71 tell 10.1.0.170
09:26:45.968135 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:45.971814  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:46.020196  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:46.021849  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:46.033001  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:46.041701  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:46.087546  In PFE proto 2 (ipv4): 10.1.0.170.64542 > 10.1.0.254.161:  GetRequest(21) .1.3.6.1[|snmp]
09:26:46.089563 Out 00:10:db:ff:10:00 > 00:0c:29:29:d9:ce, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 30 bytes missing! 10.1.0.254.161 > 10.1.0.170.64542:  GetResponse(7)[|snmp]
09:26:46.149973  In PFE proto 2 (ipv4): 10.1.0.170.64543 > 10.1.0.254.161:  GetRequest(21) .1.3.6.1[|snmp]
09:26:46.150476 Out 00:10:db:ff:10:00 > 00:0c:29:29:d9:ce, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 26 bytes missing! 10.1.0.254.161 > 10.1.0.170.64543:  GetResponse(7)[|snmp]
09:26:46.408285 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:46.412314  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:46.428170  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:46.428271  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:46.432272  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:46.432283  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:46.482190  In 52:54:00:c8:b6:b0 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.90
09:26:46.482251 Out 00:10:db:ff:10:00 > 52:54:00:c8:b6:b0, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:46.482403  In 52:54:00:c8:b6:b0 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.90
09:26:46.482424 Out 00:10:db:ff:10:00 > 52:54:00:c8:b6:b0, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:46.608531 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:46.612547  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:46.793103  In 00:50:56:b7:c8:e7 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.222 (ff:ff:ff:ff:ff:ff) tell 10.1.0.221
09:26:46.799569  In 00:50:56:b7:c8:e7 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.221
09:26:46.799621 Out 00:10:db:ff:10:00 > 00:50:56:b7:c8:e7, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:46.802295  In 00:50:56:b7:c8:e7 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.222 (ff:ff:ff:ff:ff:ff) tell 10.1.0.221
09:26:46.802304  In 00:50:56:b7:c8:e7 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.221
09:26:46.802338 Out 00:10:db:ff:10:00 > 00:50:56:b7:c8:e7, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:47.014853  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:47.022288  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:47.023404  In 00:50:56:9e:3d:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.4
09:26:47.023455 Out 00:10:db:ff:10:00 > 00:50:56:9e:3d:23, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:47.032190  In 00:50:56:9e:3d:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.4
09:26:47.032322 Out 00:10:db:ff:10:00 > 00:50:56:9e:3d:23, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:47.063656  In PFE proto 2 (ipv4): 10.1.0.80.53 > 10.1.0.254.57948:  54702 0/1/0 (101)
09:26:47.063744 Out 00:10:db:ff:10:00 > 00:50:56:84:84:af, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 6 bytes missing! 10.1.0.254 > 10.1.0.80: [|icmp]
09:26:47.088986  In PFE proto 2 (ipv4): 10.1.0.80.53 > 10.1.0.254.61025:  58536 0/1/0 (101)
09:26:47.089089 Out 00:10:db:ff:10:00 > 00:50:56:84:84:af, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 6 bytes missing! 10.1.0.254 > 10.1.0.80: [|icmp]
09:26:47.108108 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:47.152328  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:47.408952 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:47.413113  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.200 tell 10.1.0.254
09:26:47.429623  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:47.429697  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:47.433081  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:47.433091  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:47.474675  In 00:50:56:b7:ee:5f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.222
09:26:47.474739 Out 00:10:db:ff:10:00 > 00:50:56:b7:ee:5f, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:47.480768  In 00:50:56:b7:ee:5f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.221 (ff:ff:ff:ff:ff:ff) tell 10.1.0.222
09:26:47.483339  In 00:50:56:b7:ee:5f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.222
09:26:47.483348  In 00:50:56:b7:ee:5f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.221 (ff:ff:ff:ff:ff:ff) tell 10.1.0.222
09:26:47.483387 Out 00:10:db:ff:10:00 > 00:50:56:b7:ee:5f, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:47.886613  In 00:50:56:84:71:98 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.130 tell 10.1.0.131
